id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,IR pressure,37,8,32,97,185,watch,baseline,monotonic-signal
g002,lowering drift,84,13,42,67,231,ship,edge,drag-penalty
g003,stack depth,67,53,6,49,328,ship,recovery,confidence-floor
g004,diagnostic reach,62,40,32,52,202,ship,negative,lane-boundary
g005,IR pressure,107,71,4,101,578,ship,baseline,monotonic-signal
g006,lowering drift,45,19,34,44,106,watch,edge,drag-penalty
g007,stack depth,62,66,29,63,262,ship,recovery,confidence-floor
g008,diagnostic reach,30,22,7,77,238,ship,negative,lane-boundary
g009,IR pressure,105,72,19,46,403,ship,baseline,monotonic-signal
g010,lowering drift,102,30,26,78,388,ship,edge,drag-penalty
g011,stack depth,104,46,10,55,428,ship,recovery,confidence-floor
g012,diagnostic reach,109,22,4,48,429,ship,negative,lane-boundary
g013,IR pressure,71,47,15,92,384,ship,baseline,monotonic-signal
g014,lowering drift,99,27,30,33,270,ship,edge,drag-penalty
g015,stack depth,117,55,39,51,352,ship,recovery,confidence-floor
g016,diagnostic reach,85,36,24,21,237,ship,negative,lane-boundary
g017,IR pressure,73,64,39,97,321,ship,baseline,monotonic-signal
g018,lowering drift,114,46,27,53,386,ship,edge,drag-penalty
g019,stack depth,50,74,44,79,206,ship,recovery,confidence-floor
g020,diagnostic reach,110,56,12,96,530,ship,negative,lane-boundary
g021,IR pressure,55,49,39,66,190,watch,baseline,monotonic-signal
g022,lowering drift,75,48,12,48,321,ship,edge,drag-penalty
g023,stack depth,45,15,42,51,84,hold,recovery,confidence-floor
g024,diagnostic reach,77,71,17,100,434,ship,negative,lane-boundary
g025,IR pressure,53,19,27,43,156,watch,baseline,monotonic-signal
g026,lowering drift,44,8,33,62,132,watch,edge,drag-penalty
g027,stack depth,87,75,17,76,420,ship,recovery,confidence-floor
g028,diagnostic reach,68,76,31,45,246,ship,negative,lane-boundary
g029,IR pressure,62,9,19,77,273,ship,baseline,monotonic-signal
g030,lowering drift,63,13,14,54,254,ship,edge,drag-penalty
g031,stack depth,111,18,34,47,309,ship,recovery,confidence-floor
g032,diagnostic reach,78,58,4,91,458,ship,negative,lane-boundary
g033,IR pressure,37,45,11,32,176,watch,baseline,monotonic-signal
g034,lowering drift,108,76,37,50,352,ship,edge,drag-penalty
g035,stack depth,103,24,31,20,249,ship,recovery,confidence-floor
g036,diagnostic reach,60,71,42,96,275,ship,negative,lane-boundary
g037,IR pressure,86,27,15,52,329,ship,baseline,monotonic-signal
g038,lowering drift,103,77,24,78,446,ship,edge,drag-penalty
g039,stack depth,71,35,9,95,402,ship,recovery,confidence-floor
g040,diagnostic reach,58,51,24,65,259,ship,negative,lane-boundary
g041,IR pressure,55,27,12,47,238,ship,baseline,monotonic-signal
g042,lowering drift,57,52,29,50,207,ship,edge,drag-penalty
g043,stack depth,62,32,39,99,260,ship,recovery,confidence-floor
g044,diagnostic reach,112,60,24,42,384,ship,negative,lane-boundary
g045,IR pressure,52,41,39,61,163,watch,baseline,monotonic-signal
g046,lowering drift,70,69,27,75,321,ship,edge,drag-penalty
g047,stack depth,38,51,44,44,77,hold,recovery,confidence-floor
g048,diagnostic reach,114,9,12,76,455,ship,negative,lane-boundary
g049,IR pressure,67,61,18,53,296,ship,baseline,monotonic-signal
g050,lowering drift,91,54,44,46,243,ship,edge,drag-penalty
g051,stack depth,63,53,16,90,358,ship,recovery,confidence-floor
g052,diagnostic reach,96,20,4,31,354,ship,negative,lane-boundary
g053,IR pressure,116,76,41,49,358,ship,baseline,monotonic-signal
g054,lowering drift,86,24,19,105,416,ship,edge,drag-penalty
g055,stack depth,30,13,31,95,169,watch,recovery,confidence-floor
g056,diagnostic reach,94,10,38,51,242,ship,negative,lane-boundary
g057,IR pressure,85,11,22,77,332,ship,baseline,monotonic-signal
g058,lowering drift,40,14,16,94,258,ship,edge,drag-penalty
g059,stack depth,109,18,27,64,365,ship,recovery,confidence-floor
g060,diagnostic reach,103,23,42,46,256,ship,negative,lane-boundary
g061,IR pressure,104,63,9,49,437,ship,baseline,monotonic-signal
g062,lowering drift,64,50,36,98,294,ship,edge,drag-penalty
g063,stack depth,31,11,9,41,150,watch,recovery,confidence-floor
g064,diagnostic reach,78,29,39,60,227,ship,negative,lane-boundary
g065,IR pressure,61,76,14,74,351,ship,baseline,monotonic-signal
g066,lowering drift,56,32,24,43,190,watch,edge,drag-penalty
g067,stack depth,101,12,9,75,429,ship,recovery,confidence-floor
g068,diagnostic reach,39,40,24,52,165,watch,negative,lane-boundary
g069,IR pressure,56,56,12,45,266,ship,baseline,monotonic-signal
g070,lowering drift,112,32,29,89,430,ship,edge,drag-penalty
g071,stack depth,99,57,39,30,258,ship,recovery,confidence-floor
g072,diagnostic reach,96,37,45,48,241,ship,negative,lane-boundary
g073,IR pressure,98,65,29,104,451,ship,baseline,monotonic-signal
g074,lowering drift,103,46,43,94,371,ship,edge,drag-penalty
g075,stack depth,65,74,31,50,245,ship,recovery,confidence-floor
g076,diagnostic reach,93,56,26,76,383,ship,negative,lane-boundary
g077,IR pressure,111,14,4,93,517,ship,baseline,monotonic-signal
g078,lowering drift,79,66,16,63,365,ship,edge,drag-penalty
g079,stack depth,67,59,23,45,258,ship,recovery,confidence-floor
g080,diagnostic reach,108,58,7,48,450,ship,negative,lane-boundary
g081,IR pressure,44,25,43,97,179,watch,baseline,monotonic-signal
g082,lowering drift,104,11,12,40,355,ship,edge,drag-penalty
g083,stack depth,49,29,27,59,186,watch,recovery,confidence-floor
g084,diagnostic reach,69,18,36,73,227,ship,negative,lane-boundary
g085,IR pressure,39,15,21,42,132,watch,baseline,monotonic-signal
g086,lowering drift,71,16,36,74,233,ship,edge,drag-penalty
g087,stack depth,47,19,24,51,166,watch,recovery,confidence-floor
g088,diagnostic reach,38,23,41,44,61,hold,negative,lane-boundary
g089,IR pressure,81,28,9,88,411,ship,baseline,monotonic-signal
g090,lowering drift,62,68,36,29,168,watch,edge,drag-penalty
g091,stack depth,56,55,9,47,281,ship,recovery,confidence-floor
g092,diagnostic reach,57,16,39,103,237,ship,negative,lane-boundary
g093,IR pressure,105,34,14,93,479,ship,baseline,monotonic-signal
g094,lowering drift,72,11,24,49,229,ship,edge,drag-penalty
g095,stack depth,31,37,30,75,160,watch,recovery,confidence-floor
g096,diagnostic reach,102,17,14,92,451,ship,negative,lane-boundary
